"REG_ID","BSTP_LON","BSTP_LAT","BSTP_MSG_TEXT","BSTP_GEO_ID","ON_STR","AT_STR","MSTN_ID","HAS_SHELTER","TRACE_PLACE_ID","GEOID_BG"
5001860,-77.04617,38.722743,"WAYNEWOOD BLVD + DEWOLFE DR",11891,"WAYNEWOOD BLVD","DEWOLFE DR","",0,"5001860","510594157002"
5000721,-77.1944,38.827261,"BACKLICK RD + JAYHAWK ST",1698,"BACKLICK RD","JAYHAWK ST","",0,"5000721","510594521013"
5000647,-77.202182,38.822995,"RAVENSWORTH RD + DAVIAN DR",1506,"RAVENSWORTH RD","DAVIAN DR","",0,"5000647","510594521021"
5000864,-77.155554,38.837245,"COLUMBIA PIKE + COLUMBIA PIKE",2173,"COLUMBIA PIKE","COLUMBIA PIKE","",1,"5000864","510594518001"
5000575,-77.221046,38.817616,"AMERICANA DR + ENTRANCE TO POOL",1288,"AMERICANA DR","ENTRANCE TO POOL","",0,"5000575","510594522004"
5000833,-77.182853,38.835708,"COLUMBIA PIKE + ROSE LA",2078,"COLUMBIA PIKE","ROSE LA","",0,"5000833","510594510002"
5000856,-77.159753,38.836809,"COLUMBIA PIKE + OXFORD ST",2154,"COLUMBIA PIKE","OXFORD ST","",0,"5000856","510594520001"
5000847,-77.175373,38.83633,"COLUMBIA PIKE + MASON DISTRICT PIKE",2126,"COLUMBIA PIKE","MASON DISTRICT PIKE","",0,"5000847","510594520001"
5000698,-77.21715,38.825944,"PATRIOT DR + #7923",1639,"PATRIOT DR","#7923","",0,"5000698","510594523012"
5000896,-77.152703,38.839231,"COLUMBIA PIKE + LAKEWOOD DR",2278,"COLUMBIA PIKE","LAKEWOOD DR","",0,"5000896","510594511002"
5000867,-77.161527,38.837412,"COLUMBIA PIKE + DOWNING ST",2181,"COLUMBIA PIKE","DOWNING ST","",0,"5000867","510594520001"
5000748,-77.213208,38.828727,"PATRIOT DR + FOREST GLEN CT",1762,"PATRIOT DR","FOREST GLEN CT","",0,"5000748","510594523011"
3004224,-76.968048,38.956488,"WEST HYATTSVILLE STA + BUS BAY A",27976,"WEST HYATTSVILLE STA","BUS BAY A","MSTN_055",0,"3004224","240338051012"
2005506,-77.142513,39.025721,"MONTGOMRY MALL TRANSIT CTR + BUS BAY D",19082,"MONTGOMRY MALL TRANSIT CTR","BUS BAY F","",0,"2005506","240317060123"
3004337,-76.878652,38.828191,"FORESTVILLE RD + RENA RD",20469,"FORESTVILLE RD","RENA RD","",0,"3004337","240338019061"
3004338,-76.887446,39.082109,"VAN DUSEN RD + WESTSIDE BLVD",20476,"VAN DUSEN RD","WESTSIDE BLVD","",0,"3004338","240338002122"
1003887,-76.952238,38.89953,"FOOTE ST NE + BARNES ST NE",21745,"FOOTE ST NE","BARNES ST NE","",0,"1003887","110010096021"
1003901,-77.024082,38.935638,"GEORGIA AVE NW + QUEBEC PL NW",21980,"GEORGIA AVE NW","QUEBEC PL NW","",0,"1003901","110010032001"
1003908,-77.022562,38.87834,"MAINE AVE SW + 7TH ST SW",21991,"MAINE AVE SW","7TH ST SW","",0,"1003908","110010102002"
3004348,-76.827523,38.879443,"MT LUBENTIA WAY + HARRY S TRUMAN DR",27697,"MT LUBENTIA WAY","HARRY S TRUMAN DR","",0,"3004348","240338035133"
2005514,-77.024152,38.993174,"FENTON ST + THAYER AVE",27923,"FENTON ST","THAYER AVE","",0,"2005514","240317025001"
4001088,-77.049966,38.792484,"GEORGE WASHINGTON MEMORIAL PKY + THORNTON WAY",27674,"GEORGE WASHINGTON MEMORIAL PKY","THORNTON WAY","",0,"4001088","515102007032"
3004351,-76.885312,38.848912,"DONNELL DR + MARLBORO PK",27609,"DONNELL DR","MARLBORO PK","",0,"3004351","240338021032"
1003924,-77.015405,38.816716,"DC VILLAGE LN SW + BLUE PLAINS DR SW",27669,"DC VILLAGE LN SW","BLUE PLAINS DR SW","",0,"1003924","110010109002"
2005515,-76.994812,38.975475,"EAST-WEST HWY + NEW HAMPSHIRE AVE",27710,"EAST-WEST HWY","NEW HAMPSHIRE AVE","",0,"2005515","240317017041"
1003928,-77.000989,38.919738,"RHODE ISLAND AVE NE + 4TH ST NE",27703,"RHODE ISLAND AVE NE","4TH ST NE","",0,"1003928","110010092032"
4000782,-77.073089,38.842003,"908 W GLEBE RD + VALLEY DR",27732,"VALLEY DR","908 W GLEBE RD","",0,"4000782","515102012031"
4000777,-77.065651,38.839218,"W GLEBE RD + EXECUTIVE AVE",27729,"EXECUTIVE AVE","W GLEBE RD","",0,"4000777","515102012033"
4001108,-77.054336,38.812874,"E BRADDOCK RD + BRADDOCK RD STA ENTR",27752,"E BRADDOCK RD","BRADDOCK RD STA ENTR","",0,"4001108","515102016002"
4001109,-77.054315,38.812788,"E BRADDOCK RD + LINEAR PARK TRAIL",27753,"E BRADDOCK RD","LINEAR PARK TRAIL","",0,"4001109","515102016002"
4001112,-77.048244,38.832599,"E GLEBE RD + POTOMAC AVE",27756,"E GLEBE RD","POTOMAC AVE","",0,"4001112","515102018012"
3004363,-76.927187,38.977001,"RIVER RD + TEMP BUS BAY T6",27822,"RIVER RD","TEMP BUS BAY T6","MSTN_053",0,"3004363","240338071022"
1003931,-76.999784,38.955029,"SOUTH DAKOTA AVE NE + KENNEDY ST NE",27866,"SOUTH DAKOTA AVE NE","KENNEDY ST NE","",0,"1003931","110010095082"
4001120,-77.060802,38.806369,"KING STREET - OLD TOWN STATION + BUS BAY C",99999,"KING STREET - OLD TOWN STATION","BUS BAY C","",0,"4001120","515102019002"
5001880,-77.060806,38.722271,"FORT HUNT RD + ELKIN ST",11914,"FORT HUNT RD","ELKIN ST","",0,"5001880","510594158003"
5001853,-77.060635,38.722273,"FORT HUNT RD + ELKIN ST",11884,"FORT HUNT RD","ELKIN ST","",0,"5001853","510594157002"
4000157,-77.119249,38.813889,"N PICKETT ST + #400",1188,"N PICKETT ST","#400","",0,"4000157","515102003034"
5001857,-77.055031,38.725411,"WAYNEWOOD BLVD + CONOVER PL",11888,"WAYNEWOOD BLVD","CONOVER PL","",0,"5001857","510594157002"
4000133,-77.139911,38.812406,"YOAKUM PKY + STEVENSON AVE",1140,"YOAKUM PKY","STEVENSON AVE","",0,"4000133","515102004072"
5000922,-77.122215,38.842714,"SEMINARY RD + #5600",2401,"SEMINARY RD","#5600","",0,"5000922","510594528011"
5000939,-77.12309,38.844474,"SEMINARY RD + MAGNOLIA LN",2480,"SEMINARY RD","MAGNOLIA LN","",0,"5000939","510594528011"
4000052,-77.134687,38.807654,"EDSALL RD + S WHITING ST",969,"EDSALL RD","S WHITING ST","",0,"4000052","515102004062"
5000483,-77.30419,38.808256,"ZION DR + ROBERTS RD",980,"ZION DR","ROBERTS RD","",0,"5000483","510594302012"
5001891,-77.100754,38.714205,"MT VERNON MEMORIAL HWY + OLD MILL RD",11925,"MT VERNON MEMORIAL HWY","OLD MILL RD","",0,"5001891","510594160003"
5000380,-77.296038,38.801083,"ZION DR + HILLARD LAKE RD",752,"ZION DR","HILLARD LAKE RD","",0,"5000380","510594302012"
1000167,-76.997926,38.845176,"MALCOLM X AVE SE + NEWCOMB ST SE",2514,"MALCOLM X AVE SE","NEWCOMB ST SE","",0,"1000167","110010104002"
5000471,-77.279924,38.806562,"GUINEA RD + BURKE RD",934,"GUINEA RD","BURKE RD","",0,"5000471","510594318021"
5000017,-77.276602,38.755325,"FAIRFAX COUNTY PKY + LEE CHAPEL RD",171,"FAIRFAX COUNTY PKY","LEE CHAPEL RD","",0,"5000017","510594324021"
2000482,-77.038674,39.036839,"UNIVERSITY BLVD W + NICHOLAS DR",10615,"UNIVERSITY BLVD W","NICHOLAS DR","",0,"2000482","240317032093"
5004704,-77.336034,38.856689,"WAPLES MILL RD + RT 50 LEE-JACKSON HWY",18521,"WAPLES MILL RD","RT 50 LEE-JACKSON HWY","",0,"5004704","510594612022"
5004767,-77.076089,38.791995,"HUNTINGTON STA (SOUTH) + BUS BAY A",99999,"HUNTINGTON STA (SOUTH)","BUS BAY A","MSTN_082",0,"5004767","510594205031"
5001633,-77.207911,38.925457,"DOLLEY MADISON BLVD + SCOTTS CROSSING RD",18687,"DOLLEY MADISON BLVD","SCOTTS CROSSING RD","",0,"5001633","510594712021"
3001599,-76.977743,38.951817,"LASALLE RD + INGRAHAM ST",8522,"LASALLE RD","INGRAHAM ST","",1,"3001599","240338049001"
6000070,-77.091946,38.84558,"S FOUR MILE RUN DR + S OXFORD ST",2553,"S FOUR MILE RUN DR","S OXFORD ST","",0,"6000070","510131031003"
5001489,-77.26566,38.898151,"LOCUST ST SW + COURTHOUSE RD SW",5707,"LOCUST ST SW","COURTHOUSE RD SW","",0,"5001489","510594607021"
4000097,-77.04237,38.81089,"N ROYAL ST + PENDLETON ST",18571,"N ROYAL ST","PENDLETON ST","",0,"4000097","515102018014"
6000535,-77.087475,38.882827,"N BARTON ST + 9TH ST N",4598,"N BARTON ST","9TH ST N","",0,"6000535","510131018032"
2005501,-77.0307,38.99427,"COLESVILLE RD + WAYNE AVE",18756,"COLESVILLE RD","WAYNE AVE","",0,"2005501","240317025004"
3001082,-76.822753,38.900553,"CAMPUS WAY N + ELDERS HOLLOW DR",5899,"CAMPUS WAY N","ELDERS HOLLOW DR","",0,"3001082","240338035142"
1000818,-76.938351,38.88996,"E CAPITOL ST NE + BENNING RD NE",5115,"E CAPITOL ST NE","BENNING RD NE","",0,"1000818","110010096031"
4000386,-77.084947,38.836396,"N QUAKER LN + 32ND RD",2131,"N QUAKER LN","32ND RD","",0,"4000386","510131030002"
6000663,-77.119475,38.891503,"N GLEBE RD + 17TH ST N",5192,"N GLEBE RD","17TH ST N","",0,"6000663","510131007006"
1001704,-76.993552,38.91761,"BRENTWOOD RD NE + V ST NE",6926,"BRENTWOOD RD NE","V ST NE","",0,"1001704","110010091022"
6000073,-77.070545,38.846462,"28TH ST S + #1334",2597,"28TH ST S","#1334","",0,"6000073","510131038002"
3001238,-76.915209,38.91863,"CHEVERLY AVE + ARBOR ST",6975,"CHEVERLY AVE","ARBOR ST","",0,"3001238","240338042003"
3001522,-76.853922,38.944665,"WHITFIELD CHAPEL RD + EBENEZER LN",8285,"WHITFIELD CHAPEL RD","EBENEZER LN","",0,"3001522","240338036011"
1002946,-77.03624,38.983027,"16TH ST NW + JUNIPER ST NW",11861,"16TH ST NW","JUNIPER ST NW","",0,"1002946","110010016003"
2000337,-77.078169,39.018253,"CONNECTICUT AVE + FRANKLIN ST",10394,"CONNECTICUT AVE","FRANKLIN ST","",1,"2000337","240317041004"
1001777,-77.036392,38.920838,"16TH ST NW + CRESCENT PL NW",7088,"16TH ST NW","CRESCENT PL NW","",0,"1001777","110010037003"
4000350,-77.097033,38.832885,"N VAN DORN ST + BRADDOCK LEE APARTMENTS",1941,"N VAN DORN ST","BRADDOCK LEE APARTMENTS","",0,"4000350","515102002011"
1001675,-77.038701,38.916923,"U ST NW + 17TH ST NW",6881,"U ST NW","17TH ST NW","",0,"1001675","110010042012"
5000089,-77.230711,38.769987,"ROLLING RD + TAFT DR",285,"ROLLING RD","TAFT DR","",0,"5000089","510594314002"
3001193,-76.720588,38.914685,"PITTSFIELD LN + POND MEADOW LN",6772,"PITTSFIELD LN","POND MEADOW LN","",0,"3001193","240338005114"
3000079,-76.98638,38.712417,"JACKSON DR + ADAMS DR",81,"JACKSON DR","ADAMS DR","",0,"3000079","240338013121"
1001672,-77.034766,38.91693,"U ST NW + 15TH ST NW",6878,"U ST NW","15TH ST NW","",0,"1001672","110010043001"
3004244,-76.756197,38.984991,"OLD CHAPEL RD + LAUREL BOWIE RD",17602,"OLD CHAPEL RD","LAUREL BOWIE RD","",0,"3004244","240338004032"
1000705,-76.939878,38.886603,"C ST SE + PLUMMER ELEMENTARY SCHOOL",4844,"C ST SE","PLUMMER ELEMENTARY SCHOOL","",0,"1000705","110010099061"
1000798,-76.980964,38.889733,"E CAPITOL ST NE + 17TH ST SE",5090,"E CAPITOL ST NE","17TH ST SE","",0,"1000798","110010068012"
1002471,-76.99016,38.947167,"12TH ST NE + CRITTENDEN ST NE",8370,"12TH ST NE","CRITTENDEN ST NE","",0,"1002471","110010095092"
3003319,-76.889015,39.00536,"CRESCENT RD + LASTNER LN",15153,"CRESCENT RD","LASTNER LN","",0,"3003319","240338067083"
6000080,-77.113041,38.847632,"S GEORGE MASON DR + S DINWIDDIE ST",2657,"S GEORGE MASON DR","S DINWIDDIE ST","",0,"6000080","510131028016"
3004147,-76.888883,39.007366,"IVY LN + LASTNER LN",17370,"IVY LN","LASTNER LN","",0,"3004147","240338074082"
1003308,-76.929851,38.893658,"BANKS PL NE + 50TH ST NE",13777,"BANKS PL NE","50TH ST NE","",0,"1003308","110010078042"
2001245,-77.108886,39.039213,"ROCKVILLE PIKE + SECURITY LN",15385,"ROCKVILLE PIKE","SECURITY LN","",0,"2001245","240317012021"
2001169,-77.01949,39.06648,"RANDOLPH RD + KOREAN BAPTIST CHURCH",15281,"RANDOLPH RD","KOREAN BAPTIST CHURCH","",0,"2001169","240317015063"
3002411,-76.898374,39.010065,"CHERRYWOOD LN + IVY LN",10308,"CHERRYWOOD LN","IVY LN","",0,"3002411","240338074081"
1001551,-77.074537,38.912543,"RESERVOIR RD NW + G.U. ENTR",6653,"RESERVOIR RD NW","G.U. ENTR","",1,"1001551","110010002011"
5000383,-77.303055,38.801117,"ROBERTS RD + NEW GUINEA RD",755,"ROBERTS RD","NEW GUINEA RD","",0,"5000383","510594301021"
3001707,-76.836767,38.957785,"PHILADELPHIA WAY + FORBES BLVD",8772,"PHILADELPHIA WAY","FORBES BLVD","",0,"3001707","240338036081"
5004656,-77.257317,38.888371,"KINGSLEY RD + COTTAGE ST",18464,"KINGSLEY RD","COTTAGE ST","",0,"5004656","510594607023"
6000062,-77.065521,38.84532,"VA-120 + S ARLINGTON RIDGE RD",2528,"VA-120","S ARLINGTON RIDGE RD","",0,"6000062","510131037002"
5000730,-77.21569,38.827707,"PATRIOT DR + BRIARWOOD CT N",1713,"PATRIOT DR","BRIARWOOD CT N","",0,"5000730","510594523012"
6000532,-77.155154,38.882554,"N SYCAMORE ST + 17TH ST",4586,"N SYCAMORE ST","17TH ST","",0,"6000532","510131011004"
6001332,-77.154917,38.882718,"N SYCAMORE ST + 17TH ST",18443,"N SYCAMORE ST","17TH ST","",0,"6001332","510131011003"
5004724,-77.208458,38.924653,"RT 123 D MAD BLVD + COLESHIRE DR",18686,"RT 123 D MAD BLVD","COLESHIRE DR","",0,"5004724","510594712022"
6000549,-77.173995,38.884215,"W BROAD ST + LITTLE FALLS ST",18745,"W BROAD ST","LITTLE FALLS ST","",0,"6000549","516105001001"
6000684,-77.188087,38.893348,"W BROAD ST + BIRCH ST",5322,"W BROAD ST","BIRCH ST","",0,"6000684","516105001002"
3000521,-76.89305,38.82694,"SUITLAND RD + POPLAR RD",1683,"SUITLAND RD","POPLAR RD","",0,"3000521","240338019062"
3000552,-76.896745,38.831431,"SUITLAND RD + PINE LANE DR",1853,"SUITLAND RD","PINE LANE DR","",0,"3000552","240338019062"
4000312,-77.109648,38.827167,"SEMINARY RD + #4649",1692,"SEMINARY RD","#4649","",0,"4000312","515102002013"
4000300,-77.119643,38.826143,"N VAN DORN ST + MARIS AVE",1645,"N VAN DORN ST","MARIS AVE","",1,"4000300","515102003011"
5000013,-77.265002,38.754305,"HUNTSMAN BLVD + DOROTHY LN",164,"HUNTSMAN BLVD","DOROTHY LN","",0,"5000013","510594325003"
4000148,-77.126277,38.813181,"DUKE ST + N RIPLEY ST",1171,"DUKE ST","N RIPLEY ST","",1,"4000148","515102004053"
4000085,-77.128369,38.810546,"S REYNOLDS ST + OAKWOODS APARTMENTS",1053,"S REYNOLDS ST","OAKWOODS APARTMENTS","",0,"4000085","515102004052"
6000732,-77.122781,38.896379,"N GLEBE RD + N GLEBE RD",5588,"N GLEBE RD","N GLEBE RD","",1,"6000732","510131007006"
4000079,-77.128421,38.810105,"S REYNOLDS ST + THE SUMMIT APARTMENTS",1037,"S REYNOLDS ST","THE SUMMIT APARTMENTS","",0,"4000079","515102004054"
3000246,-77.005621,38.785477,"OXON HILL RD + ABBINGTON DR",18977,"OXON HILL RD","ABBINGTON DR","",0,"3000246","240338014042"
3004367,-76.928884,38.978607,"COLLEGE PARK-U OF MD STATION + TEMP BUS BAY T9 - CALVERT RD WEST ENTRANCE",27872,"COLLEGE PARK-U OF MD STATION","TEMP BUS BAY T9 - CALVERT RD WEST ENTRANCE","MSTN_053",0,"3004367","240338072001"
1003938,-77.013753,38.869688,"2ND ST SW + R ST SW",27914,"2ND ST SW","R ST SW","",0,"1003938","110010064002"
1003942,-77.013601,38.869262,"2ND ST SW + R ST SW",27918,"2ND ST SW","R ST SW","",0,"1003942","110010064002"
1003948,-77.068608,38.953156,"CONNECTICUT AVE NW + ELLICOTT ST NW",27957,"CONNECTICUT AVE NW","ELLICOTT ST NW","",0,"1003948","110010013013"
1001002,-77.02017,38.896047,"E ST NW + 6TH ST NW",27699,"E ST NW","6TH ST NW","",1,"1001002","110010058002"
3004053,-76.897508,39.05138,"AMMENDALE RD + BALTIMORE AVE",21773,"AMMENDALE RD","BALTIMORE AVE","",0,"3004053","240338074083"
3004346,-76.742504,38.902598,"CENTRAL AVE + JENNINGS MILL DR",27578,"CENTRAL AVE","JENNINGS MILL DR","",0,"3004346","240338005093"
3004050,-76.900542,39.05452,"AMMENDALE RD + #6000",20427,"AMMENDALE RD","#6000","",0,"3004050","240338074041"
4000195,-77.112855,38.817226,"TANEY AVE + N LATHAM ST",27963,"TANEY AVE","N LATHAM ST","",1,"4000195","515102003021"
3002719,-76.913478,38.889379,"CAPITOL HEIGHTS STATION + BUS BAY D",5040,"CAPITOL HEIGHTS STATION","BUS BAY D","MSTN_084",1,"3002719","240338027001"
2001118,-77.051687,39.057396,"RANDOLPH RD + GRANDVIEW AVE",27671,"RANDOLPH RD","GRANDVIEW AVE","",0,"2001118","240317037021"
3002441,-76.93836,39.018065,"SEVEN SPRINGS VILLAGE + EAST ROAD FIRST PARKING AREA",20528,"SEVEN SPRINGS VILLAGE","EAST ROAD FIRST PARKING AREA","",0,"3002441","240338073011"
2001206,-77.110403,39.004619,"W CEDAR LN + OLD GEORGETOWN RD",21921,"W CEDAR LN","OLD GEORGETOWN RD","",0,"2001206","240317044042"
5000542,-77.279366,38.812783,"COMMONWEALTH BLVD + THACKERY CT",1149,"COMMONWEALTH BLVD","THACKERY CT","",0,"5000542","510594302022"
5000493,-77.289413,38.808776,"GAINSBOROUGH DR + ORCHARDSON CT",1010,"GAINSBOROUGH DR","ORCHARDSON CT","",0,"5000493","510594302011"
5000525,-77.285387,38.810976,"POMMEROY DR + BACON CT",1084,"POMMEROY DR","BACON CT","",0,"5000525","510594302023"
5000453,-77.28963,38.805774,"GAINSBOROUGH DR + EASTLAKE DR",903,"GAINSBOROUGH DR","EASTLAKE DR","",0,"5000453","510594302011"
1003951,-77.001136,38.952388,"FORT TOTTEN STATION + TEMPORARY BUS BAY T1",27971,"FORT TOTTEN STATION","TEMPORARY BUS BAY T1","",0,"1003951","110010095081"
4000306,-77.109271,38.826528,"SEMINARY RD + N PICKETT ST",1668,"SEMINARY RD","N PICKETT ST","",0,"4000306","515102003011"
4000489,-77.10487,38.824126,"SEMINARY RD + N HOWARD ST",14491,"SEMINARY RD","N HOWARD ST","",1,"4000489","515102002021"
4000210,-77.126394,38.81806,"HOLMES RUN PKY + N RIPLEY ST",1305,"HOLMES RUN PKY","N RIPLEY ST","",0,"4000210","515102003031"
3000545,-76.988671,38.830968,"SOUTHERN AVE SE + 9TH ST SE",1828,"SOUTHERN AVE SE","9TH ST SE","",0,"3000545","240338017041"
4000462,-77.112012,38.827868,"KENMORE AVE + SEMINARY RD",12141,"KENMORE AVE","SEMINARY RD","",0,"4000462","515102003012"
3000366,-76.965287,38.804845,"BRINKLEY RD + #2505",864,"BRINKLEY RD","#2505","",0,"3000366","240338014082"
3000327,-76.94174,38.800611,"BRINKLEY RD + CHERRYFIELD RD",742,"BRINKLEY RD","CHERRYFIELD RD","",0,"3000327","240338014071"
6000023,-77.09093,38.837611,"31ST ST S + #4201",2192,"31ST ST S","#4201","",1,"6000023","510131029021"
3000626,-76.94908,38.838576,"IVERSON ST + IVERSON MALL",2243,"IVERSON ST","IVERSON MALL","",0,"3000626","240338018021"
1000584,-76.945029,38.881027,"TEXAS AVE SE + ADRIAN ST SE",4516,"TEXAS AVE SE","ADRIAN ST SE","",0,"1000584","110010099071"
1003742,-77.008388,38.897326,"MASSACHUSETTS AVE NE + 1ST ST NE",17583,"MASSACHUSETTS AVE NE","1ST ST NE","",0,"1003742","110010106002"
2001057,-76.994853,39.136307,"NEW HAMPSHIRE AVE + EDNOR RD",12924,"NEW HAMPSHIRE AVE","EDNOR RD","",0,"2001057","240317013162"
3004225,-76.968239,38.956418,"WEST HYATTSVILLE STA + BUS BAY B",99999,"WEST HYATTSVILLE STA","BUS BAY B","MSTN_055",0,"3004225","240338051012"
1003055,-77.021691,38.939651,"NEW HAMPSHIRE AVE NW + SHEPHERD ST NW",13093,"NEW HAMPSHIRE AVE NW","SHEPHERD ST NW","",0,"1003055","110010024004"
1002521,-77.076561,38.950645,"CHESAPEAKE ST NW + WILSON HIGH SCHOOL",8491,"CHESAPEAKE ST NW","WILSON HIGH SCHOOL","",0,"1002521","110010011004"
1003147,-77.008092,38.831393,"ATLANTIC ST SW + S CAPITOL ST SW",13302,"ATLANTIC ST SW","S CAPITOL ST SW","",0,"1003147","110010098071"
6001219,-77.051253,38.858112,"CRYSTAL CITY STATION + BUS BAY D",19344,"CRYSTAL CITY STATION","BUS BAY D","MSTN_072",1,"6001219","510131034021"
1002102,-77.028237,38.932134,"11TH ST NW + PARK RD NW",7664,"11TH ST NW","PARK RD NW","",0,"1002102","110010029001"
1001364,-77.029755,38.906961,"13TH ST NW + N ST NW",6308,"13TH ST NW","N ST NW","",0,"1001364","110010050022"
1001300,-77.027154,38.904294,"11TH ST NW + L ST NW",6162,"11TH ST NW","L ST NW","",0,"1001300","110010050024"
1002008,-77.027473,38.92898,"11TH ST NW + IRVING ST NW",16803,"11TH ST NW","IRVING ST NW","",0,"1002008","110010031001"
6000681,-77.119817,38.89306,"N GLEBE RD + 19TH ST N",5308,"N GLEBE RD","19TH ST N","",1,"6000681","510131007006"
6001251,-77.110336,38.880024,"WILSON BLVD + N RANDOLPH ST",17237,"WILSON BLVD","N RANDOLPH ST","",0,"6001251","510131014032"
5000826,-77.224258,38.835264,"LITTLE RIVER TPKE + PINE RIDGE DR",2058,"LITTLE RIVER TPKE","PINE RIDGE DR","",0,"5000826","510594408003"
5000726,-77.181217,38.82739,"LITTLE RIVER TPKE + MORNING WIND CT",1706,"LITTLE RIVER TPKE","MORNING WIND CT","",1,"5000726","510594521012"
5000653,-77.166547,38.823334,"LITTLE RIVER TPKE + MINOR LN",1524,"LITTLE RIVER TPKE","MINOR LN","",1,"5000653","510594521011"
5000618,-77.158735,38.821412,"LITTLE RIVER TPKE + VIRGINIA ST",1431,"LITTLE RIVER TPKE","VIRGINIA ST","",0,"5000618","510594525013"
