"MSTN_ID","NAME","EGIS_ID","ALPHA_CD","X_COORD","Y_COORD","NAME_SHORT","STREET_ADDRESS","DISPLAY_NAME"
"MSTN_090","SPRING HILL",1200090,"SPHL",-77.24188902,38.92920442,"SPRING HILL","1576 SPRING HILL ROAD, VIENNA, VA 22182","SPRING HILL(N04)"
"MSTN_091","WIEHLE-RESTON EAST",1200091,"WIRE",-77.34031319,38.9478241,"WIEHLE-RESTON EAST","1862 WIEHLE AVENUE, RESTON, VA 20190","WIEHLE-RESTON EAST(N06)"
"MSTN_092","RESTON TOWN CENTER",1200092,"RSTC",-77.36018497,38.95276807,"RESTON TOWN CENTER","12023-A SUNSET HILLS RD, RESTON, VA 20190","RESTON TOWN CENTER(N07)"
"MSTN_096","LOUDOUN GATEWAY",1200096,"LDGW",-77.46068538,38.99203954,"LOUDOUN GATEWAY","22505-A LOCK RIDGE RD, STERLING, VA 20166","LOUDOUN GATEWAY(N11)"
"MSTN_087","MCLEAN",1200087,"MCLN",-77.21052768,38.92433105,"MCLEAN","1824 DOLLEY MADISON BOULEVARD, MCLEAN, VA 22102","MCLEAN(N01)"
"MSTN_088","TYSONS CORNER",1200088,"TYCR",-77.22158636,38.92067679,"TYSONS CORNER","1943 CHAIN BRIDGE ROAD, MCLEAN, VA 22102","TYSONS CORNER(N02)"
"MSTN_089","GREENSBORO",1200089,"GRBO",-77.23416004,38.92126077,"GREENSBORO","8305 LEESBURG PIKE, VIENNA, VA  22102","GREENSBORO(N03)"
"MSTN_093","HERNDON",1200093,"HRDN",-77.38517772,38.95282085,"HERNDON","585-A HERNDON PKY, HERNDON, VA 20170","HERNDON(N08)"
"MSTN_095","DULLES AIRPORT",1200095,"DLLS",-77.44814755,38.9557842,"DULLES AIRPORT","44920 SAARINEN CIR, DULLES, VA 20166","DULLES AIRPORT(N10)"
"MSTN_094","INNOVATION CENTER",1200094,"INOV",-77.41529509,38.96075798,"INNOVATION CENTER","13747-A SUNRISE VALLEY DR, HERNDON, VA 20171","INNOVATION CENTER(N09)"
"MSTN_097","ASHBURN",1200097,"ASHB",-77.4915367,39.00528283,"ASHBURN","43625-A CROSON LN, ASHBURN, VA 20147","ASHBURN(N12)"
"MSTN_036","U STREET/AFRICAN-AMER CIVIL WAR MEMORIAL/CARDOZO",1200011,"USTR",-77.02751795,38.91700113,"U STREET","1240 U STREET NW, WASHINGTON, DC 20009","U STREET(E03)"
"MSTN_076","SOUTHERN AVENUE",1200084,"SOAV",-76.97520858,38.84094582,"SOUTHERN AVE","1411 SOUTHERN AVENUE, TEMPLE HILLS, MD 20748","SOUTHERN AVE(F08)"
"MSTN_031","SHAW-HOWARD UNIVERSITY",1200013,"SHAW",-77.02192036,38.91350995,"SHAW-HOWARD UNIV","1701 8TH STREET NW, WASHINGTON, DC 20001","SHAW-HOWARD UNIV(E02)"
"MSTN_002","ARCHIVES-NAVY MEMORIAL-PENN QUARTER",1200016,"ARCH",-77.0219064,38.89321666,"ARCHIVES","300 7TH STREET NW, WASHINGTON, DC 20004","ARCHIVES(F02)"
"MSTN_080","EISENHOWER AVENUE",1200041,"EIAV",-77.07115407,38.80034589,"EISENHOWER AVE","2400 EISENHOWER AVENUE, ALEXANDRIA, VA 22314","EISENHOWER AVE(C14)"
"MSTN_019","GALLERY PLACE-CHINATOWN",1200015,"GALP",-77.02280001,38.89837187,"GALLERY PLACE","630 H STREET NW, WASHINGTON, DC 20001","GALLERY PLACE(B01/F01)"
"MSTN_020","GEORGIA AVENUE-PETWORTH",1200003,"GEOP",-77.0235351,38.93735926,"GEORGIA AVE-PETWORTH","3706 GEORGIA AVENUE NW, WASHINGTON, DC 20010","GEORGIA AVE-PETWORTH(E05)"
"MSTN_079","KING STREET-OLD TOWN",1200048,"KIST",-77.06097213,38.80660083,"KING ST-OLD TOWN","1900 KING STREET, ALEXANDRIA, VA 22301","KING ST-OLD TOWN(C13)"
"MSTN_025","MINNESOTA AVENUE",1200029,"MINA",-76.94674058,38.89916033,"MINNESOTA AVE","4000 MINNESOTA AVENUE NE, WASHINGTON, DC 20019","MINNESOTA AVE(D09)"
"MSTN_028","NOMA-GALLAUDET U",1200018,"NOMA",-77.00330889,38.906609,"NOMA-GALLAUDET U","1301 2ND STREET NE, WASHINGTON DC, 20002","NOMA-GALLAUDET U(B35)"
"MSTN_026","MT VERNON SQ 7TH ST-CONVENTION CENTER",1200014,"MVSQ",-77.02191823,38.90657183,"MT VERNON SQ","700 M STREET NW, WASHINGTON, DC 20001","MT VERNON SQ(E01)"
"MSTN_027","NAVY YARD-BALLPARK",1200009,"NYRD",-77.00587505,38.87646472,"NAVY YARD-BALLPARK","1155 NEW JERSEY AVENUE SE, WASHINGTON, DC 20003","NAVY YARD-BALLPARK(F05)"
"MSTN_059","WEST FALLS CHURCH-VT/UVA",1200055,"WEFC",-77.18921868,38.90078058,"WEST FALLS CHURCH","7040 HAYCOCK ROAD, FALLS CHURCH, VA 22043","WEST FALLS CHURCH(K06)"
"MSTN_066","VIRGINIA SQUARE-GMU",1200056,"VASQ",-77.10302171,38.88342526,"VIRGINIA SQUARE-GMU","3600 FAIRFAX DRIVE, ARLINGTON, VA 22201","VIRGINIA SQUARE-GMU(K03)"
"MSTN_063","CLARENDON",1200057,"CLRN",-77.09544014,38.88673153,"CLARENDON","3100 WILSON BOULEVARD, ARLINGTON, VA 22201","CLARENDON(K02)"
"MSTN_061","COURT HOUSE",1200058,"CTHS",-77.08714128,38.8901448,"COURT HOUSE","2100 WILSON BOULEVARD, ARLINGTON, VA 22201","COURT HOUSE(K01)"
"MSTN_018","FRIENDSHIP HEIGHTS",1200059,"FRHE",-77.08501937,38.95937588,"FRIENDSHIP HEIGHTS","5337 WISCONSIN AVENUE NW, WASHINGTON, DC 20015","FRIENDSHIP HEIGHTS(A08)"
"MSTN_077","BRANCH AVE",1200007,"BRAV",-76.91181448,38.82670989,"BRANCH AVE","4704 OLD SOPER ROAD, SUITLAND, MD 20746","BRANCH AVE(F11)"
"MSTN_003","BENNING ROAD",1200031,"BNRD",-76.93861723,38.89106118,"BENNING ROAD","4500 BENNING ROAD NE, WASHINGTON, DC 20019","BENNING ROAD(G01)"
